Accession,description,Group,concentration,Method,Alternative,P value,Log2FC
1,P02768,Albumin [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.004011683,0.114671264
2,P02768,Albumin [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.00051895,0.153867119
3,P02768,Albumin [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.000428688,0.58059862
4,P02768,Albumin [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,4.82E-07,0.296097856
5,P02768,Albumin [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.000136383,0.262009712
6,P02768,Albumin [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.006186004,0.089325064
7,P02768,Albumin [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.011605752,-0.04742454
8,P02768,Albumin [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,2.01E-05,-0.479590286
9,P02768,Albumin [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000797548,0.220798191
10,P02768,Albumin [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,6.51E-05,0.303202868
11,P02768,Albumin [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.000211185,0.279869078
12,P02768,Albumin [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,8.36E-05,0.569613773
13,P02768,Albumin [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000654659,0.317174363
14,P02768,Albumin [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,1.62E-06,0.417282787
15,P02768,Albumin [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.002212518,0.113246967
16,P02768,Albumin [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.002495658,0.050487763
17,P02768,Albumin [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,2.93E-05,0.24935628
18,P02768,Albumin [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,7.71E-05,0.152671953
19,P02768,Albumin [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.000138614,0.472426044
20,P02768,Albumin [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.042140351,0.05240741
21,P02768,Albumin [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.01885726,-0.075501497
22,P02768,Albumin [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.002989205,0.167018004
23,P02768,Albumin [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,4.24E-05,0.712381215
24,P02768,Albumin [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.007838989,0.16805628
25,P02768,Albumin [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.024435341,0.043058924
26,P02768,Albumin [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.004860395,0.145927687
27,P02768,Albumin [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.000751388,0.073781211
28,P02768,Albumin [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,4.04E-07,0.669298808
29,P02768,Albumin [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,1.13E-05,1.080303594
30,P35579,Myosin-9 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000117342,-0.500760797
31,P35579,Myosin-9 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,1.71E-06,-0.417255268
32,P35579,Myosin-9 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,1.46E-07,-0.932969733
33,P35579,Myosin-9 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,5.98E-06,-0.852497191
34,P35579,Myosin-9 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,3.29E-06,-1.093979457
35,P35579,Myosin-9 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.44E-07,-0.970869596
36,P35579,Myosin-9 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,7.73E-05,-0.763017369
37,P35579,Myosin-9 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,8.79E-05,-0.218062896
38,P35579,Myosin-9 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000134869,0.268665265
39,P35579,Myosin-9 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,3.69E-05,-0.174174004
40,P35579,Myosin-9 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,6.49E-07,-0.557152759
41,P35579,Myosin-9 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.003823015,0.058865503
42,P35579,Myosin-9 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.001360334,-0.071667863
43,P35579,Myosin-9 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,7.99E-06,-0.292138539
44,P35579,Myosin-9 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,4.85E-05,-0.534768109
45,P35579,Myosin-9 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.137770824,0.013456787
46,P35579,Myosin-9 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.001331398,-0.449460804
47,P35579,Myosin-9 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,4.68E-07,-1.091304403
48,P35579,Myosin-9 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.002134698,-0.683527218
49,P35579,Myosin-9 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.000506774,-0.677118992
50,P35579,Myosin-9 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,5.77E-05,-0.260198097
51,P35579,Myosin-9 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,1.93E-07,-0.8035477
52,P35579,Myosin-9 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.000187318,-0.111873151
53,P35579,Myosin-9 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,3.65E-05,-1.599745335
54,P35579,Myosin-9 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,6.70E-08,-1.174908123
55,P35579,Myosin-9 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,6.57E-06,-0.641168119
56,P35579,Myosin-9 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.000543449,0.143427063
57,P35579,Myosin-9 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,6.53E-05,-0.328671478
58,P35579,Myosin-9 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.008113882,0.071873573
59,P02675,Fibrinogen beta chain [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,2.02E-05,-0.213233567
60,P02675,Fibrinogen beta chain [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,8.52E-06,0.404659529
61,P02675,Fibrinogen beta chain [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.0002629,0.730504359
62,P02675,Fibrinogen beta chain [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,3.93E-06,-0.735325793
63,P02675,Fibrinogen beta chain [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,3.09E-07,-0.614111552
64,P02675,Fibrinogen beta chain [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.54E-07,-0.785724617
65,P02675,Fibrinogen beta chain [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,8.89E-05,-0.127795847
66,P02675,Fibrinogen beta chain [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,2.98E-06,1.119450219
67,P02675,Fibrinogen beta chain [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,8.18E-07,-0.400286756
68,P02675,Fibrinogen beta chain [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.00043004,-0.159546531
69,P02675,Fibrinogen beta chain [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,4.57E-06,-0.398943356
70,P02675,Fibrinogen beta chain [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,1.11E-06,-0.440545096
71,P02675,Fibrinogen beta chain [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000126544,-0.303275895
72,P02675,Fibrinogen beta chain [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,8.79E-06,-0.380321924
73,P02675,Fibrinogen beta chain [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.822355619,0.004716195
74,P02675,Fibrinogen beta chain [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,1.36E-06,0.277095072
75,P02675,Fibrinogen beta chain [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,3.00E-06,-0.665386499
76,P02675,Fibrinogen beta chain [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.003862934,-0.370112327
77,P02675,Fibrinogen beta chain [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.005077518,-0.590467262
78,P02675,Fibrinogen beta chain [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,9.12E-08,-1.335477367
79,P02675,Fibrinogen beta chain [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,1.44E-09,1.38536217
80,P02675,Fibrinogen beta chain [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,4.22E-08,-1.07519784
81,P02675,Fibrinogen beta chain [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,7.98E-07,-1.489370274
82,P02675,Fibrinogen beta chain [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,1.95E-05,1.183600098
83,P02675,Fibrinogen beta chain [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,8.15E-05,1.191955397
84,P02675,Fibrinogen beta chain [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.001064466,-0.43999572
85,P02675,Fibrinogen beta chain [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,2.89E-05,-0.181698434
86,P02675,Fibrinogen beta chain [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,9.98E-08,-1.428220472
87,P02675,Fibrinogen beta chain [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,8.18E-07,-1.526650375
88,Q9Y490,Talin-1 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000462397,-0.581273545
89,Q9Y490,Talin-1 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,4.01E-05,-0.530440517
90,Q9Y490,Talin-1 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,1.68E-05,-0.896449024
91,Q9Y490,Talin-1 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000262079,-0.858501192
92,Q9Y490,Talin-1 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.000214469,-1.000870307
93,Q9Y490,Talin-1 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.37E-05,-0.89066839
94,Q9Y490,Talin-1 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,5.09E-06,-0.659967067
95,Q9Y490,Talin-1 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.99301502,-0.000113926
96,Q9Y490,Talin-1 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000337046,0.267062958
97,Q9Y490,Talin-1 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000124668,-0.586714775
