high threshold,low threshold,cause 1,cause 2,cause 3
0.1,-10.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-9.5,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-9.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-8.5,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-8.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-7.5,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-7.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-6.5,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-6.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-5.5,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-5.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-4.5,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-4.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-3.5,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-3.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-2.5,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-2.0,PtdChos with prob 0.4053030303030303,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-1.5,PtdChos with prob 0.40625,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-1.0,PtdChos with prob 0.4071969696969697,Diglycerol with prob 0.35789473684210527,Glucose with prob 0.33866666666666667
0.1,-0.5,PtdChos with prob 0.4119318181818182,Diglycerol with prob 0.3618421052631579,Glucose with prob 0.3433333333333333
0.1,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
0.6,-10.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-9.5,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-9.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-8.5,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-8.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-7.5,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-7.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-6.5,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-6.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-5.5,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-5.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
